,ret
2018-01-31,0.03246967153753698
2018-02-28,-0.0039050550159935027
2018-03-31,-0.005734789907679715
2018-04-30,0.02834743825366092
2018-05-31,0.01416576716113574
2018-06-30,-0.011592992118785929
2018-07-31,0.0214743640422404
2018-08-31,-0.0008987702100681673
2018-09-30,0.011176155963156709
2018-10-31,0.01024584357194173
2018-11-30,0.011268565693431007
2018-12-31,0.0049216593611772115
2019-01-31,0.029251254759938814
2019-02-28,0.020392169309388843
2019-03-31,0.02989635611269425
2019-04-30,0.0014725281767417463
2019-05-31,0.0071065100180394735
2019-06-30,0.037965728041625596
2019-07-31,0.019110533725505408
2019-08-31,0.03172330535346021
2019-09-30,0.005590743761416433
2019-10-31,0.02801459313319628
2019-11-30,0.024342586667137702
2019-12-31,0.031410311329643
2020-01-31,0.004602904524383906
2020-02-29,0.012049777485029417
2020-03-31,0.027812876769235037
2020-04-30,0.03242720616258145
2020-05-31,0.01031875627783196
2020-06-30,0.023760270939423688
2020-07-31,0.0666760146233197
2020-08-31,0.033229745816564
2020-09-30,0.015821131082654954
2020-10-31,-0.0085288853958516
2020-11-30,0.06471068422277348
2020-12-31,0.02809303009513052
2021-01-31,0.005730542735913421
2021-02-28,0.02547765908110196
2021-03-31,0.039358506578412694
2021-04-30,0.03592834891437063
2021-05-31,0.0283871794355165
2021-06-30,0.018175335089493476
2021-07-31,0.010807966283357343
2021-08-31,0.035464310502968444
2021-09-30,0.004627421299285276
2021-10-31,0.03861267226493018
2021-11-30,0.009249280210177086
2021-12-31,0.026171781631809353
2022-01-31,-0.007707081285128092
2022-02-28,0.027200537605955036
2022-03-31,0.030963237807825103
2022-04-30,-0.006510637106249017
2022-05-31,0.02778309364047394
2022-06-30,0.000742037485489687
2022-07-31,0.024031897242039944
2022-08-31,0.0017702014954213744
2022-09-30,-0.007405732989199648
2022-10-31,0.03571940287378739
2022-11-30,0.015038809863535793
2022-12-31,0.00458168811026554
2023-01-31,0.03410899244131615
2023-02-28,0.011707608297405891
2023-03-31,0.005767633748360086
2023-04-30,0.017424106301557732
2023-05-31,0.02296350358512179
2023-06-30,0.042633576734365186
2023-07-31,0.040853537629732845
2023-08-31,-0.008282919086754324
2023-09-30,-0.021151365026015247
2023-10-31,-0.006935788168258641
2023-11-30,0.024151444351155106
2023-12-31,0.031637972864323176
2024-01-31,0.00927167174761235
2024-02-29,0.02387639452789929
2024-03-31,0.02738584052448011
2024-04-30,-0.007819598236389834
2024-05-31,0.0361961868985421
2024-06-30,0.009722942986187352
2024-07-31,0.019151639442258565
2024-08-31,0.01739914491674557
2024-09-30,0.024748769042655053
2024-10-31,0.0044621200141150875
2024-11-30,0.03841753160760407
2024-12-31,0.0030821764577849643
2025-01-31,0.027066263966044786
2025-02-28,-0.012080307693576651
2025-03-31,0.006632017797181762
2025-04-30,0.02045695394734985
2025-05-31,0.02800334251322714
2025-06-30,0.015330008264213055
2025-07-31,0.01915670265726999
2025-08-31,0.03610714461452135
2025-09-30,0.003746013819657609
2025-10-31,0.0075574617380423405
2025-11-30,0.0035024462431269845
2025-12-31,0.010831490941578622
2026-01-31,0.03897960483314612
2026-02-28,0.026035990976040257
2026-03-31,-0.002612616152619561
2026-04-30,0.017490865682883185
