,ret
2018-01-31,0.03821408637774469
2018-02-28,-0.015880388728558376
2018-03-31,-0.015470662041037355
2018-04-30,0.02381575870417285
2018-05-31,0.006105652661884563
2018-06-30,0.0019923219861612052
2018-07-31,0.04527964425132437
2018-08-31,-0.0016331912374436383
2018-09-30,0.010446719627716214
2018-10-31,0.0008489632838331394
2018-11-30,0.005029198623860729
2018-12-31,0.003830162559990612
2019-01-31,0.0063203826323567315
2019-02-28,0.009623845448906621
2019-03-31,0.03716663277999827
2019-04-30,0.003714956389011611
2019-05-31,0.024803469778561696
2019-06-30,0.017674972197433653
2019-07-31,0.037849390762673615
2019-08-31,0.030049930408757097
2019-09-30,-0.003819599560709493
2019-10-31,0.029841768202401697
2019-11-30,0.005394767170774764
2019-12-31,0.009280329853598609
2020-01-31,0.012379566057590921
2020-02-29,0.02204564327472662
2020-03-31,0.005480520166733945
2020-04-30,0.009258815711826244
2020-05-31,-0.0009534428552707636
2020-06-30,0.02068924558669669
2020-07-31,0.04771538060325991
2020-08-31,0.0253111147463021
2020-09-30,0.008732656234246175
2020-10-31,-0.009861960233842832
2020-11-30,0.03407812355307788
2020-12-31,-0.007799191567364474
2021-01-31,0.017672356068565206
2021-02-28,0.00038601670442506286
2021-03-31,0.04033988501682778
2021-04-30,-0.0014165788687122308
2021-05-31,0.020324196188159036
2021-06-30,0.00863446063755605
2021-07-31,-0.005957938927741003
2021-08-31,0.0066596818518048564
2021-09-30,-0.009668523739051957
2021-10-31,0.041557341965694855
2021-11-30,0.0018479635653839877
2021-12-31,-0.008664253264288593
2022-01-31,-0.046787107029413674
2022-02-28,0.026474750635203236
2022-03-31,0.04295335900909624
2022-04-30,-0.009071707261522906
2022-05-31,0.015310689978720659
2022-06-30,0.007651500459861695
2022-07-31,0.007279687888018013
2022-08-31,0.002401872136311713
2022-09-30,0.001796426221997049
2022-10-31,0.05653384322283585
2022-11-30,0.007670076157367037
2022-12-31,0.005749628279689991
2023-01-31,0.01894640472730408
2023-02-28,0.004110751161057199
2023-03-31,0.0026315427207480985
2023-04-30,0.021036194331919094
2023-05-31,0.004504920288763569
2023-06-30,0.03994712217986354
2023-07-31,0.03230506009094562
2023-08-31,0.004294156034051714
2023-09-30,-0.009882753571330272
2023-10-31,0.011446310409280461
2023-11-30,0.029857583419977247
2023-12-31,0.044436812436090635
2024-01-31,0.008542305963395171
2024-02-29,0.016655644400931525
2024-03-31,0.011448558800928677
2024-04-30,-0.007915396393547436
2024-05-31,0.024093174302291562
2024-06-30,0.014351783952399121
2024-07-31,-0.009214033558477313
2024-08-31,0.08622955923411557
2024-09-30,-0.032372116615080576
2024-10-31,0.06728756345763791
2024-11-30,0.01718059040329411
2024-12-31,0.014894179268507324
2025-01-31,0.008704289969311883
2025-02-28,-0.025065168391612516
2025-03-31,0.03503400610125709
2025-04-30,0.00598511891386087
2025-05-31,0.04272328993917401
2025-06-30,0.007814249219495124
2025-07-31,0.032199881402779025
2025-08-31,0.008803298523393406
2025-09-30,0.0003682352667337052
2025-10-31,-0.0038847967408206507
2025-11-30,-0.0003417246175546058
2025-12-31,0.009552370318815215
2026-01-31,0.002063090387680381
2026-02-28,-0.01329373921708014
2026-03-31,-0.024103048513672468
2026-04-30,0.056904509260716475
