,ret
2015-01-01,0.10077665336138919
2015-02-01,-0.03137155139134373
2015-03-01,0.011226773283905311
2015-04-01,0.14737335558005205
2015-05-01,0.11517013379311103
2015-06-01,0.06370919979857881
2015-07-01,0.006298705719342879
2015-08-01,0.04737548627109733
2015-09-01,-0.029583052614387206
2015-10-01,-0.0019264280916067023
2015-11-01,0.01668161062386253
2015-12-01,-0.23344943017126596
2016-01-01,0.07457361216228864
2016-02-01,0.09442243945428719
2016-03-01,-0.0028068957396991667
2016-04-01,0.31836010021216454
2016-05-01,0.12472640556094361
2016-06-01,0.21463542798034663
2016-07-01,0.0787171940733451
2016-08-01,-0.06621624887033095
2016-09-01,0.038528650914585016
2016-10-01,-0.06302559676433528
2016-11-01,0.15770065620954798
2016-12-01,-0.08553794126779146
2017-01-01,-0.012507869168465469
2017-02-01,0.07399197181887596
2017-03-01,-0.04250403809024439
2017-04-01,0.3854455557659393
2017-05-01,0.11528150225443001
2017-06-01,0.09054488428598373
2017-07-01,0.13691344427328467
2017-08-01,0.055063804133950844
2017-09-01,0.12662064553386698
2017-10-01,-0.03473227914562449
2017-11-01,-0.0359224677829435
2017-12-01,0.2702844711013088
2018-01-01,-0.01484771219673342
2018-02-01,-0.043016888039533296
2018-03-01,0.03820477454091331
2018-04-01,0.15128922979506987
2018-05-01,0.11328218789163436
2018-06-01,0.04567600755093726
2018-07-01,0.08958372263142556
2018-08-01,0.22725464028670395
2018-09-01,-0.1933819541655124
2018-10-01,0.08550613585831313
2018-11-01,-0.06455108048533698
2018-12-01,0.3223185838586635
2019-01-01,-0.036050764697562965
2019-02-01,-0.02566557247635981
2019-03-01,-0.03693786458916526
2019-04-01,-0.22419592128191212
2019-05-01,0.07040380041614003
2019-06-01,0.09955633238755657
2019-07-01,0.06301272857813922
2019-08-01,0.0676388894701141
2019-09-01,0.1548229938985013
2019-10-01,0.07755407294954253
2019-11-01,-0.03770178240057653
2019-12-01,0.5551598573434691
2020-01-01,0.02677646887053875
2020-02-01,-0.2155570713684315
2020-03-01,0.15193491462098496
2020-04-01,0.1286097368186736
2020-05-01,0.11632178701287055
2020-06-01,0.3250108843981532
2020-07-01,0.7414521252787116
2020-08-01,-0.13908741409927106
2020-09-01,-0.03575408533520552
2020-10-01,0.23070796301451169
2020-11-01,0.24325228028976542
2020-12-01,0.12450585757436827
2021-01-01,0.04299659489876295
2021-02-01,0.13038388363732123
2021-03-01,0.09302732796086244
2021-04-01,-0.11871335524117277
2021-05-01,0.08713734718910104
2021-06-01,0.01103427987887895
2021-07-01,0.07060538379906944
2021-08-01,-0.07330073841519025
2021-09-01,0.10749898457884166
2021-10-01,0.27805401246349337
2021-11-01,-0.0998101735143152
2021-12-01,-0.11021667846524141
2022-01-01,-0.0707681586632628
2022-02-01,-0.05051708525488763
2022-03-01,-0.09844391366084149
2022-04-01,-0.03276431760316645
2022-05-01,-0.16726905533088532
2022-06-01,0.27059597129750057
2022-07-01,-0.005392186602683924
2022-08-01,-0.10296901848112516
2022-09-01,-0.09345130582826322
2022-10-01,0.046765786760407435
2022-11-01,-0.1298943525647971
2022-12-01,0.25598386941473494
2023-01-01,0.03660478039397286
2023-02-01,0.13729382492534326
2023-03-01,0.02091195675834423
2023-04-01,0.10153134259202035
2023-05-01,0.11821049625017022
2023-06-01,0.021622049507798113
2023-07-01,0.026973862560159434
2023-08-01,-0.07890726899285905
2023-09-01,0.0035308907305606763
2023-10-01,0.19537943740621855
2023-11-01,-0.007574214991116213
2023-12-01,0.14562114839895068
2024-01-01,0.10820510733840805
2024-02-01,-0.009283418197296722
2024-03-01,-0.041818628835739835
2024-04-01,0.2688709148550492
2024-05-01,0.21232030337793906
2024-06-01,-0.052776535629643684
2024-07-01,0.02008208031891745
2024-08-01,0.01742813318985359
2024-09-01,-0.00849000102410613
2024-10-01,0.041353012581465176
2024-11-01,0.17000808915631316
2024-12-01,0.11649743576009297
2025-01-01,-0.07340761817354713
2025-02-01,-0.04898222868327429
2025-03-01,0.21360169721367117
2025-04-01,0.1272500717885412
2025-05-01,0.10342070827873884
2025-06-01,-0.1074787270950388
2025-07-01,-0.07759056698548772
2025-08-01,0.07125121360969189
2025-09-01,0.026623485126352042
2025-10-01,0.056799420640435416
2025-11-01,0.20739718483900438
2025-12-01,0.45362808188767456
2026-01-01,-0.006049905538305755
2026-02-01,-0.07697458027819137
2026-03-01,0.012423910851209863
2026-04-01,0.8775622219761785
2026-05-01,0.18876418311149634
2026-06-01,-0.3129485370358672
